"generation","variant","count","S"
4037,5027,34,"0"
4037,5028,24,"0"
4037,5075,31,"0"
4037,5097,8,"0"
4037,5102,1,"0"
4037,5103,2,"0"
4037,5106,1,"0"
4037,5107,1,"0"
4038,3598,56,"0"
4038,4268,128,"0"
4038,4583,56,"0"
4038,4740,72,"0"
4038,4838,312,"0"
4038,4859,8,"0"
4038,4878,168,"0"
4038,4975,91,"0"
4038,5011,2,"0"
4038,5027,40,"0"
4038,5028,19,"0"
4038,5075,32,"0"
4038,5097,9,"0"
4038,5103,2,"0"
4038,5106,3,"0"
4038,5108,1,"0"
4038,5109,1,"0"
4039,3598,58,"0"
4039,4268,134,"0"
4039,4583,61,"0"
4039,4740,73,"0"
4039,4838,319,"0"
4039,4859,8,"0"
4039,4878,154,"0"
4039,4975,96,"0"
4039,5027,35,"0"
4039,5028,19,"0"
4039,5075,27,"0"
4039,5097,6,"0"
4039,5103,2,"0"
4039,5106,4,"0"
4039,5108,1,"0"
4039,5109,1,"0"
4039,5110,1,"0"
4039,5111,1,"0"
4040,3598,60,"0"
4040,4268,131,"0"
4040,4583,58,"0"
4040,4740,86,"0"
4040,4838,290,"0"
4040,4859,8,"0"
4040,4878,152,"0"
4040,4975,97,"0"
4040,5027,43,"0"
4040,5028,20,"0"
4040,5075,39,"0"
4040,5097,6,"0"
4040,5103,3,"0"
4040,5106,2,"0"
4040,5110,2,"0"
4040,5111,2,"0"
4040,5112,1,"0"
4041,3598,64,"0"
4041,4268,124,"0"
4041,4583,62,"0"
4041,4740,76,"0"
4041,4838,297,"0"
4041,4859,4,"0"
4041,4878,150,"0"
4041,4975,87,"0"
4041,5027,45,"0"
4041,5028,26,"0"
4041,5075,36,"0"
4041,5097,12,"0"
4041,5103,3,"0"
4041,5106,2,"0"
4041,5110,6,"0"
4041,5111,3,"0"
4041,5112,1,"0"
4041,5113,1,"0"
4041,5114,1,"0"
4042,3598,56,"0"
4042,4268,132,"0"
4042,4583,51,"0"
4042,4740,77,"0"
4042,4838,291,"0"
4042,4859,8,"0"
4042,4878,135,"0"
4042,4975,94,"0"
4042,5027,53,"0"
4042,5028,22,"0"
4042,5075,52,"0"
4042,5097,11,"0"
4042,5103,3,"0"
4042,5106,1,"0"
4042,5110,7,"0"
4042,5111,3,"0"
4042,5113,4,"0"
4043,3598,64,"0"
4043,4268,150,"0"
4043,4583,54,"0"
4043,4740,75,"0"
4043,4838,274,"0"
