,added,killed
1257,875,140
1258,4,418
1259,12,295
1260,728,270
1261,329,634
1262,764,329
1263,141,72
1264,154,797
1265,481,407
1266,764,559
1267,37,845
1268,234,613
1269,542,1
1270,803,658
1271,494,796
1272,627,716
1273,911,797
1274,526,196
1275,152,646
1276,417,751
1277,429,651
1278,619,764
1279,812,546
1280,460,657
1281,733,716
1282,585,185
1283,667,615
1284,353,185
1285,908,653
1286,234,494
1287,435,908
1288,392,183
1289,519,851
1290,678,234
1291,692,579
1292,372,539
1293,329,796
1294,988,408
1295,150,132
1296,64,408
1297,342,297
1298,311,999
1299,350,613
1300,88,714
1301,594,557
1302,315,25
1303,716,451
1304,549,250
1305,474,223
1306,783,569
1307,708,627
1308,194,292
1309,989,71
1310,37,562
1311,1000,321
1312,576,431
1313,638,613
1314,182,18
1315,785,105
1316,75,989
1317,549,781
1318,692,888
1319,689,725
1320,95,693
1321,304,15
1322,885,55
1323,615,692
1324,948,544
1325,326,519
1326,324,37
1327,886,275
1328,745,242
1329,919,657
1330,484,916
1331,437,677
1332,995,407
1333,920,429
1334,923,160
1335,684,101
1336,299,517
1337,676,485
1338,891,378
1339,350,616
1340,701,432
1341,764,318
1342,435,71
1343,445,504
1344,470,895
1345,899,42
1346,886,893
1347,976,916
1348,42,710
1349,859,544
1350,863,458
1351,92,407
1352,445,884
1353,271,902
1354,619,594
1355,324,495
1356,247,660
1357,709,882
1358,385,223
1359,451,494
1360,308,658
1361,798,564
1362,356,542
1363,244,642
1364,904,154
1365,136,327
1366,534,131
1367,658,578
1368,885,324
1369,971,888
1370,812,692
1371,509,627
1372,947,275
1373,850,396
1374,677,785
1375,891,932
1376,619,162
1377,652,474
1378,716,841
1379,95,991
1380,108,849
1381,654,667
1382,318,474
1383,843,173
1384,549,144
1385,38,642
1386,911,519
1387,764,546
1388,785,652
1389,130,116
1390,734,238
1391,999,684
1392,763,125
1393,562,675
1394,593,723
1395,141,515
1396,675,504
1397,841,183
1398,477,796
