,added,killed
1280,670,58
1281,155,245
1282,706,643
1283,254,646
1284,578,255
1285,229,753
1286,563,201
1287,499,558
1288,893,325
1289,923,542
1290,174,16
1291,298,814
1292,244,22
1293,11,243
1294,514,372
1295,326,248
1296,214,990
1297,298,563
1298,814,83
1299,563,944
1300,404,244
1301,227,106
1302,880,400
1303,731,795
1304,725,948
1305,517,777
1306,22,334
1307,405,974
1308,990,158
1309,446,367
1310,89,487
1311,201,739
1312,751,459
1313,92,995
1314,797,176
1315,294,267
1316,753,499
1317,542,4
1318,840,14
1319,956,157
1320,458,344
1321,643,139
1322,201,522
1323,957,944
1324,708,517
1325,349,923
1326,461,416
1327,706,334
1328,550,271
1329,398,35
1330,380,845
1331,753,510
1332,296,499
1333,499,206
1334,845,797
1335,795,459
1336,809,974
1337,11,996
1338,81,201
1339,802,806
1340,952,654
1341,227,507
1342,534,305
1343,9,220
1344,952,405
1345,394,550
1346,404,134
1347,952,706
1348,634,89
1349,402,549
1350,22,210
1351,454,76
1352,126,706
1353,345,990
1354,578,174
1355,897,795
1356,923,948
1357,404,405
1358,11,591
1359,992,231
1360,809,809
1361,206,914
1362,201,81
1363,22,684
1364,624,134
1365,880,803
1366,795,382
1367,486,129
1368,777,753
1369,643,735
1370,753,897
1371,40,726
1372,164,326
1373,394,404
1374,248,313
1375,507,848
1376,731,579
1377,80,243
1378,248,551
1379,305,514
1380,267,638
1381,379,251
1382,344,795
1383,126,72
1384,126,809
1385,313,446
1386,956,243
1387,311,210
1388,267,229
1389,254,111
1390,558,692
1391,248,82
1392,923,290
1393,459,139
1394,334,638
1395,811,663
1396,774,401
1397,219,793
1398,421,671
1399,364,537
1400,296,409
1401,740,201
1402,579,387
1403,458,174
1404,547,394
1405,486,798
1406,753,334
1407,913,609
1408,313,502
1409,379,944
1410,941,74
1411,220,90
1412,249,99
1413,254,40
1414,872,1000
1415,402,419
1416,992,294
1417,267,249
1418,313,11
1419,432,941
1420,214,164
1421,380,845
1422,22,946
1423,155,811
1424,753,40
1425,11,379
1426,80,267
1427,227,347
1428,201,897
1429,120,921
1430,568,515
1431,405,22
1432,952,485
1433,538,779
1434,723,880
1435,344,134
1436,402,554
1437,491,504
1438,647,458
1439,255,227
1440,80,326
1441,22,537
1442,499,542
1443,334,946
1444,89,578
1445,848,860
1446,405,398
1447,578,777
1448,267,25
1449,421,443
1450,537,802
1451,848,227
1452,548,413
1453,314,298
1454,417,314
1455,795,296
1456,114,134
1457,491,113
1458,219,35
1459,273,11
1460,134,405
1461,981,296
1462,295,423
1463,273,92
1464,304,345
1465,311,643
1466,311,304
1467,550,726
1468,380,2
1469,795,623
1470,956,394
1471,739,190
1472,304,244
1473,206,136
1474,797,753
1475,723,880
1476,459,58
1477,458,416
1478,521,786
1479,558,929
1480,563,537
1481,227,458
1482,254,458
1483,379,254
1484,864,72
1485,547,113
1486,611,491
1487,510,848
1488,133,209
1489,120,517
1490,462,174
1491,914,245
1492,267,16
1493,220,578
1494,402,111
1495,671,485
1496,304,795
1497,668,499
1498,723,106
1499,568,795
1500,845,957
1501,311,296
1502,133,537
1503,803,133
1504,803,201
1505,956,85
1506,914,923
1507,404,459
1508,514,35
1509,457,593
1510,992,4
1511,795,11
1512,623,913
1513,176,441
1514,174,646
1515,647,761
1516,923,114
1517,662,486
1518,219,227
1519,298,572
1520,249,404
1521,780,81
1522,723,990
1523,777,176
1524,952,475
1525,229,753
1526,444,795
1527,295,220
1528,201,459
1529,944,534
1530,681,380
1531,326,248
1532,364,267
1533,80,379
1534,547,298
1535,380,978
1536,311,11
1537,848,547
1538,62,781
1539,361,120
1540,206,443
1541,127,419
1542,161,404
1543,781,814
1544,879,803
1545,227,398
1546,578,786
1547,607,342
1548,89,120
1549,113,136
1550,176,404
1551,864,623
1552,359,957
1553,155,434
1554,227,889
1555,72,723
1556,227,80
1557,731,944
1558,578,517
1559,809,379
1560,576,842
1561,520,417
1562,330,4
1563,304,706
1564,882,558
1565,326,552
1566,548,330
1567,225,11
1568,579,907
1569,995,781
1570,980,458
1571,227,432
1572,219,157
1573,103,127
1574,706,878
1575,106,379
1576,923,956
1577,359,308
1578,643,882
1579,90,990
1580,880,454
1581,326,607
1582,311,306
1583,304,225
1584,311,992
1585,898,379
1586,158,402
1587,692,245
1588,330,330
1589,136,647
1590,485,89
1591,547,305
1592,780,295
1593,777,134
1594,254,76
1595,255,402
1596,201,254
1597,404,869
1598,657,190
1599,98,781
1600,550,428
1601,777,739
1602,777,795
1603,176,344
1604,402,298
1605,913,995
1606,795,421
1607,305,402
1608,643,848
1609,432,574
1610,227,550
1611,517,723
1612,990,154
1613,248,790
1614,814,85
1615,255,326
1616,161,89
1617,777,880
1618,80,956
1619,334,795
1620,458,103
1621,126,81
1622,538,426
1623,295,845
1624,941,304
1625,657,72
1626,417,460
1627,550,574
1628,129,878
1629,579,803
1630,22,777
1631,870,957
1632,864,638
1633,313,311
1634,35,295
1635,443,379
1636,537,670
1637,90,517
1638,404,446
1639,157,1000
1640,194,992
1641,174,206
1642,174,216
1643,14,914
1644,326,957
1645,206,777
1646,727,804
1647,485,311
1648,176,405
1649,200,581
1650,550,216
1651,981,227
1652,311,158
1653,514,957
1654,864,201
1655,74,607
1656,126,74
1657,995,593
1658,201,517
1659,459,997
1660,334,579
1661,543,578
1662,671,491
1663,537,400
1664,753,678
1665,380,753
1666,106,657
1667,723,77
1668,174,244
1669,995,295
1670,106,458
1671,311,446
1672,120,864
1673,254,13
1674,579,520
1675,305,432
1676,461,311
1677,379,239
1678,692,944
1679,382,194
1680,941,647
1681,314,775
1682,955,405
1683,201,643
1684,387,387
1685,402,692
1686,229,227
1687,657,423
1688,314,461
1689,446,880
